track_name,artist_name,playlists
Reflexo,Dillaz,
Faroleiro,Dillaz,
Homem da Sirene,Dillaz,
Avioneta,Dillaz,
O Proprio,Dillaz,
Caminho Errado,Dillaz,
Protagonista,Dillaz,
Madrigal,Dillaz,
Galileu,Dillaz,
Mo Boy,Dillaz,
1100 Cegonhas,Dillaz,
Sonhar Nesta Vida,Dillaz,
Saudade,Dillaz,
Interludio,Dillaz,
Rodinha,Dillaz,
Mango,Dillaz,
Maca,Dillaz,
Conto,Dillaz,
Papaia,Dillaz,
19/01,Dillaz,
Gravidade,"Dillaz,Lhast",
Se Olhares para o Caminho,"Dillaz,SPLIFF",
Esta Rua,"Dillaz,SPLIFF",
Paga para Ver,"Dillaz,SPLIFF",
Copo de Balao,"Dillaz,SPLIFF",
Gangsters A Sexta-Feira,"Dillaz,SPLIFF",
Querida Ja Nao Da,"Dillaz,VEECIOUS V",
Eu Estou Bem,"Dillaz,Vulto",
Do Enough,"Dillin Hoox,Eminem",
She’s Gone Dance On,Disclosure,
You & Me - Flume Remix,"Disclosure,Eliza Doolittle,Flume",
Let's Go 4,"Dj GBR,Mc IG,MC Ryan SP,MC PH,Mc Davi,Mc Luki,Mc Don Juan,Mc Kadu,TrapLaudo,MC GP,MC GH do 7",
Dubai,"Dj Yuri Pedrada,MC Neguinho do Kaxeta,MC Hariel,Vulgo FK,Mc Kadu",
Saving Up,Dom Dolla,
Pensamento Leve,Domi,
Ballin & Rollin,Don G,
Groupies,"Doode,Teto,Matue",
Hollaback Girl - Extended Mix,"Dot N Life,Flera",
00:00,Double C,
A Nossa,"Double Trouble,Tiwi",
Forgot About Dre,"Dr. Dre,Eminem",
Toosie Slide,Drake,
Papi’s Home,Drake,
TSU,Drake,
No Friends In The Industry,Drake,
What’s Next,Drake,
Nonstop,Drake,
Time Flies,Drake,
Final Fantasy,Drake,
Finesse,Drake,
0 To 100 / The Catch Up,Drake,
Middle of the Ocean,Drake,
BackOutsideBoyz,Drake,
Losses,Drake,
Behind Barz - Bonus,Drake,
Champagne Poetry,Drake,
God's Plan,Drake,
I'm Upset,Drake,
On BS,"Drake,21 Savage",
Major Distribution,"Drake,21 Savage",
Rich Flex,"Drake,21 Savage",
Jimmy Cooks (feat. 21 Savage),"Drake,21 Savage",
Knife Talk (with 21 Savage ft. Project Pat),"Drake,21 Savage,Project Pat",
On The Radar Freestyle,"Drake,Central Cee",
N 2 Deep,"Drake,Future",
Way 2 Sexy (with Future & Young Thug),"Drake,Future,Young Thug",
First Person Shooter (feat. J. Cole),"Drake,J. Cole",
Love All (with JAY-Z),"Drake,JAY-Z",
Girls Want Girls (with Lil Baby),"Drake,Lil Baby",
Wants and Needs (feat. Lil Baby),"Drake,Lil Baby",
Laugh Now Cry Later (feat. Lil Durk),"Drake,Lil Durk",
In The Bible (with Lil Durk & Giveon),"Drake,Lil Durk,GIVEON",
You Only Live Twice (with Lil Wayne & Rick Ross),"Drake,Lil Wayne,Rick Ross",
Lemon Pepper Freestyle (feat. Rick Ross),"Drake,Rick Ross",
Money In The Grave (Drake ft. Rick Ross),"Drake,Rick Ross",
Fair Trade (with Travis Scott),"Drake,Travis Scott",
One Dance,"Drake,Wizkid,Kyla",
Costa Rica (with Bas & JID feat. Guapdad 4000 Reese LAFLARE Jace Mez Smokepurpp Buddy & Ski Mask The Slump God),"Dreamville,Bas,JID,Guapdad 4000,Reese LAFLARE,Jace,Mez,Smokepurpp,Buddy,Ski Mask The Slump God",
Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),"Dreamville,EARTHGANG,J. Cole,Smino,Saba",
Adonis Interlude (The Montage) (with J. Cole),"Dreamville,J. Cole",
Under The Sun (with J. Cole & Lute feat. DaBaby),"Dreamville,J. Cole,Lute,DaBaby",
Down Bad (feat. JID Bas J. Cole EARTHGANG & Young Nudy),"Dreamville,JID,Bas,J. Cole,EARTHGANG,Young Nudy",
Lingua dos Campeoes,"Drik Barbosa,Kamau,Rincon Sapiencia,Rashid,Gson,Holly Hood,Papillon,Sir Scratch",
September,Earth Wind & Fire,
Boyz-N-The-Hood,Eazy-E,
Gelato,"Eladio Carrion,Smokepurpp,Duki,hidemiyabi",
Hate Me (with Juice WRLD),"Ellie Goulding,Juice WRLD",
Can't Help Falling in Love,Elvis Presley,
Almost Famous,Eminem,
Marshall Mathers,Eminem,
Mockingbird,Eminem,
My Fault,Eminem,
My Name Is,Eminem,
Never Love Again,Eminem,
Not Afraid,Eminem,
Rap God,Eminem,
The Real Slim Shady,Eminem,
